Month,Total,Resolved,Pending,P25,P50,P75,Mean,Max,Rejected,Rej%
2025-05,80,54,26,55,61,72,63.4,112,0,0.0%
2025-06,39,20,19,51,56,59,60.9,145,0,0.0%
2025-07,39,26,13,38,43,50,45.2,154,1,3.8%
2025-08,27,14,13,31,42,56,49.0,123,1,7.1%
2025-09,31,20,11,54,72,77,63.8,104,0,0.0%
2025-10,59,26,33,66,88,91,75.2,100,1,3.8%
2025-11,57,5,52,14,25,52,29.2,54,0,0.0%
2025-12,100,12,88,22,33,44,37.4,85,0,0.0%
2026-01,62,33,29,34,56,63,47.1,77,1,3.0%
2026-02,0,0,0,-,-,-,-,-,-,-
2026-03,0,0,0,-,-,-,-,-,-,-
2026-04,0,0,0,-,-,-,-,-,-,-
OVERALL,,210,,43,57,71,56.6,154,4,1.9%
