Month,Total,Resolved,Pending,P25,P50,P75,Mean,Max,Rejected,Rej%
2025-05,19,14,5,55,62,66,78.0,301,0,0.0%
2025-06,14,7,7,49,50,56,53.3,72,0,0.0%
2025-07,9,6,3,38,42,49,43.5,51,0,0.0%
2025-08,9,6,3,40,42,62,57.3,123,0,0.0%
2025-09,10,9,1,35,72,78,57.9,104,0,0.0%
2025-10,20,14,6,72,89,93,86.5,125,0,0.0%
2025-11,33,23,10,104,106,112,99.2,146,0,0.0%
2025-12,61,40,21,67,86,92,75.4,105,0,0.0%
2026-01,35,19,16,31,56,66,49.8,84,0,0.0%
2026-02,11,11,0,14,38,48,33.9,73,0,0.0%
2026-03,9,9,0,14,31,31,23.7,39,0,0.0%
2026-04,5,5,0,5,6,12,10.4,28,1,20.0%
2026-05,0,0,0,-,-,-,-,-,-,-
OVERALL,,163,,38,66,92,65.6,301,1,0.6%
