Month,Total,Resolved,Pending,P25,P50,P75,Mean,Max,Rejected,Rej%
2025-05,9,6,3,57,68,80,73.3,112,0,0.0%
2025-06,3,3,0,46,50,63,55.7,76,0,0.0%
2025-07,0,0,0,-,-,-,-,-,-,-
2025-08,0,0,0,-,-,-,-,-,-,-
2025-09,0,0,0,-,-,-,-,-,-,-
2025-10,3,3,0,120,121,124,122.0,126,0,0.0%
2025-11,4,4,0,96,101,106,100.2,108,0,0.0%
2025-12,7,3,4,43,43,68,59.3,92,0,0.0%
2026-01,2,2,0,n/a,n/a,n/a,60.5,62,0,0.0%
2026-02,0,0,0,-,-,-,-,-,-,-
2026-03,3,3,0,18,34,35,23.7,36,0,0.0%
2026-04,0,0,0,-,-,-,-,-,-,-
2026-05,0,0,0,-,-,-,-,-,-,-
OVERALL,,24,,48,69,99,72.7,126,0,0.0%
