Month,Total,Resolved,Pending,P25,P50,P75,Mean,Max,Rejected,Rej%
2025-05,0,0,0,-,-,-,-,-,-,-
2025-06,0,0,0,-,-,-,-,-,-,-
2025-07,0,0,0,-,-,-,-,-,-,-
2025-08,0,0,0,-,-,-,-,-,-,-
2025-09,0,0,0,-,-,-,-,-,-,-
2025-10,0,0,0,-,-,-,-,-,-,-
2025-11,1,1,0,n/a,n/a,n/a,108.0,108,0,0.0%
2025-12,1,1,0,n/a,n/a,n/a,92.0,92,0,0.0%
2026-01,1,1,0,n/a,n/a,n/a,62.0,62,0,0.0%
2026-02,0,0,0,-,-,-,-,-,-,-
2026-03,0,0,0,-,-,-,-,-,-,-
2026-04,0,0,0,-,-,-,-,-,-,-
2026-05,0,0,0,-,-,-,-,-,-,-
OVERALL,,3,,77,92,100,87.3,108,0,0.0%
